fiscal_year,fiscal_year_start,sex,age_group,population_category,ed_visits,median_los_minutes,median_los_hours
2003-2004,2003,Female,0-19,Pediatric & Youth,611154.0,101,1.68
2003-2004,2003,Male,0-19,Pediatric & Youth,702232.0,101,1.68
2003-2004,2003,Female,20-44,Young Adult,882434.0,127,2.12
2003-2004,2003,Male,20-44,Young Adult,823322.0,117,1.95
2003-2004,2003,Female,45-64,Middle Adult,503316.0,138,2.3
2003-2004,2003,Male,45-64,Middle Adult,508356.0,136,2.27
2003-2004,2003,Female,65+,Older Adult,478789.0,203,3.38
2003-2004,2003,Male,65+,Older Adult,396791.0,188,3.13
2004-2005,2004,Female,0-19,Pediatric & Youth,630204.0,107,1.78
2004-2005,2004,Male,0-19,Pediatric & Youth,718565.0,105,1.75
2004-2005,2004,Female,20-44,Young Adult,946132.0,132,2.2
2004-2005,2004,Male,20-44,Young Adult,862553.0,122,2.03
2004-2005,2004,Female,45-64,Middle Adult,565051.0,142,2.37
2004-2005,2004,Male,45-64,Middle Adult,563907.0,140,2.33
2004-2005,2004,Female,65+,Older Adult,528129.0,206,3.43
2004-2005,2004,Male,65+,Older Adult,433264.0,190,3.17
2005-2006,2005,Female,0-19,Pediatric & Youth,652811.0,111,1.85
2005-2006,2005,Male,0-19,Pediatric & Youth,743474.0,109,1.82
2005-2006,2005,Female,20-44,Young Adult,967223.0,137,2.28
2005-2006,2005,Male,20-44,Young Adult,880584.0,126,2.1
2005-2006,2005,Female,45-64,Middle Adult,591738.0,146,2.43
2005-2006,2005,Male,45-64,Middle Adult,593770.0,143,2.38
2005-2006,2005,Female,65+,Older Adult,541936.0,209,3.48
2005-2006,2005,Male,65+,Older Adult,445578.0,193,3.22
2006-2007,2006,Female,0-19,Pediatric & Youth,636662.0,113,1.88
2006-2007,2006,Male,0-19,Pediatric & Youth,720928.0,111,1.85
2006-2007,2006,Female,20-44,Young Adult,968539.0,142,2.37
2006-2007,2006,Male,20-44,Young Adult,863146.0,129,2.15
2006-2007,2006,Female,45-64,Middle Adult,614261.0,150,2.5
2006-2007,2006,Male,45-64,Middle Adult,608689.0,147,2.45
2006-2007,2006,Female,65+,Older Adult,558640.0,214,3.57
2006-2007,2006,Male,65+,Older Adult,459002.0,199,3.32
2007-2008,2007,Female,0-19,Pediatric & Youth,639773.0,118,1.97
2007-2008,2007,Male,0-19,Pediatric & Youth,717804.0,116,1.93
2007-2008,2007,Female,20-44,Young Adult,983448.0,148,2.47
2007-2008,2007,Male,20-44,Young Adult,858641.0,135,2.25
2007-2008,2007,Female,45-64,Middle Adult,645065.0,158,2.63
2007-2008,2007,Male,45-64,Middle Adult,637863.0,156,2.6
2007-2008,2007,Female,65+,Older Adult,572833.0,240,4.0
2007-2008,2007,Male,65+,Older Adult,474901.0,223,3.72
2008-2009,2008,Female,0-19,Pediatric & Youth,649434.0,124,2.07
2008-2009,2008,Male,0-19,Pediatric & Youth,715625.0,121,2.02
2008-2009,2008,Female,20-44,Young Adult,980376.0,152,2.53
2008-2009,2008,Male,20-44,Young Adult,834892.0,138,2.3
2008-2009,2008,Female,45-64,Middle Adult,661479.0,164,2.73
2008-2009,2008,Male,45-64,Middle Adult,647195.0,161,2.68
2008-2009,2008,Female,65+,Older Adult,584833.0,251,4.18
2008-2009,2008,Male,65+,Older Adult,485360.0,235,3.92
2009-2010,2009,Female,0-19,Pediatric & Youth,681603.0,127,2.12
2009-2010,2009,Male,0-19,Pediatric & Youth,747986.0,123,2.05
2009-2010,2009,Female,20-44,Young Adult,1018464.0,153,2.55
2009-2010,2009,Male,20-44,Young Adult,841742.0,140,2.33
2009-2010,2009,Female,45-64,Middle Adult,696015.0,166,2.77
2009-2010,2009,Male,45-64,Middle Adult,669633.0,163,2.72
2009-2010,2009,Female,65+,Older Adult,608126.0,253,4.22
2009-2010,2009,Male,65+,Older Adult,499772.0,236,3.93
2010-2011,2010,Female,0-19,Pediatric & Youth,954584.0,119,1.98
2010-2011,2010,Male,0-19,Pediatric & Youth,1039804.0,115,1.92
2010-2011,2010,Female,20-44,Young Adult,1476749.0,145,2.42
2010-2011,2010,Male,20-44,Young Adult,1236027.0,132,2.2
2010-2011,2010,Female,45-64,Middle Adult,981404.0,157,2.62
2010-2011,2010,Male,45-64,Middle Adult,965461.0,154,2.57
2010-2011,2010,Female,65+,Older Adult,827951.0,240,4.0
2010-2011,2010,Male,65+,Older Adult,689671.0,222,3.7
2011-2012,2011,Female,0-19,Pediatric & Youth,1035283.0,118,1.97
2011-2012,2011,Male,0-19,Pediatric & Youth,1118698.0,114,1.9
2011-2012,2011,Female,20-44,Young Adult,1644747.0,148,2.47
2011-2012,2011,Male,20-44,Young Adult,1381157.0,134,2.23
2011-2012,2011,Female,45-64,Middle Adult,1095233.0,160,2.67
2011-2012,2011,Male,45-64,Middle Adult,1078180.0,158,2.63
2011-2012,2011,Female,65+,Older Adult,930681.0,242,4.03
2011-2012,2011,Male,65+,Older Adult,780606.0,226,3.77
2012-2013,2012,Female,0-19,Pediatric & Youth,1122973.0,119,1.98
2012-2013,2012,Male,0-19,Pediatric & Youth,1209465.0,114,1.9
2012-2013,2012,Female,20-44,Young Adult,1818310.0,148,2.47
2012-2013,2012,Male,20-44,Young Adult,1517751.0,134,2.23
2012-2013,2012,Female,45-64,Middle Adult,1209210.0,162,2.7
2012-2013,2012,Male,45-64,Middle Adult,1197449.0,160,2.67
2012-2013,2012,Female,65+,Older Adult,1066532.0,242,4.03
2012-2013,2012,Male,65+,Older Adult,899826.0,227,3.78
2013-2014,2013,Female,0-19,Pediatric & Youth,1133177.0,121,2.02
2013-2014,2013,Male,0-19,Pediatric & Youth,1209236.0,116,1.93
2013-2014,2013,Female,20-44,Young Adult,1888339.0,151,2.52
2013-2014,2013,Male,20-44,Young Adult,1564168.0,137,2.28
2013-2014,2013,Female,45-64,Middle Adult,1250830.0,167,2.78
2013-2014,2013,Male,45-64,Middle Adult,1241125.0,163,2.72
2013-2014,2013,Female,65+,Older Adult,1120021.0,248,4.13
2013-2014,2013,Male,65+,Older Adult,955229.0,231,3.85
2014-2015,2014,Female,0-19,Pediatric & Youth,1195509.0,125,2.08
2014-2015,2014,Male,0-19,Pediatric & Youth,1268612.0,118,1.97
2014-2015,2014,Female,20-44,Young Adult,1949121.0,155,2.58
2014-2015,2014,Male,20-44,Young Adult,1619526.0,141,2.35
2014-2015,2014,Female,45-64,Middle Adult,1299292.0,171,2.85
2014-2015,2014,Male,45-64,Middle Adult,1283869.0,168,2.8
2014-2015,2014,Female,65+,Older Adult,1210712.0,253,4.22
2014-2015,2014,Male,65+,Older Adult,1030397.0,237,3.95
2015-2016,2015,Female,0-19,Pediatric & Youth,1201643.0,127,2.12
2015-2016,2015,Male,0-19,Pediatric & Youth,1272742.0,122,2.03
2015-2016,2015,Female,20-44,Young Adult,1983636.0,159,2.65
2015-2016,2015,Male,20-44,Young Adult,1639764.0,144,2.4
2015-2016,2015,Female,45-64,Middle Adult,1340106.0,174,2.9
2015-2016,2015,Male,45-64,Middle Adult,1319626.0,172,2.87
