fiscal_year,fiscal_year_start,sex,triage_level,ctas_urgency_score,age_group,population_category,ed_visits,median_los_minutes,median_los_hours
2021-2022,2021,Female,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,10332,240,4.0
2021-2022,2021,Female,CTAS I - Resuscitation,1,20-44,Young Adult,11051,330,5.5
2021-2022,2021,Female,CTAS I - Resuscitation,1,45-64,Middle Adult,11653,324,5.4
2021-2022,2021,Female,CTAS I - Resuscitation,1,65+,Older Adult,25787,414,6.9
2021-2022,2021,Male,CTAS I - Resuscitation,1,0-19,Pediatric & Youth,12409,228,3.8
2021-2022,2021,Male,CTAS I - Resuscitation,1,20-44,Young Adult,18848,336,5.6
2021-2022,2021,Male,CTAS I - Resuscitation,1,45-64,Middle Adult,20762,300,5.0
2021-2022,2021,Male,CTAS I - Resuscitation,1,65+,Older Adult,30338,360,6.0
2021-2022,2021,Female,CTAS II - Emergent,2,0-19,Pediatric & Youth,208386,228,3.8
2021-2022,2021,Female,CTAS II - Emergent,2,20-44,Young Adult,416879,282,4.7
2021-2022,2021,Female,CTAS II - Emergent,2,45-64,Middle Adult,314935,306,5.1
2021-2022,2021,Female,CTAS II - Emergent,2,65+,Older Adult,352317,414,6.9
2021-2022,2021,Male,CTAS II - Emergent,2,0-19,Pediatric & Youth,212432,210,3.5
2021-2022,2021,Male,CTAS II - Emergent,2,20-44,Young Adult,361926,270,4.5
2021-2022,2021,Male,CTAS II - Emergent,2,45-64,Middle Adult,341235,318,5.3
2021-2022,2021,Male,CTAS II - Emergent,2,65+,Older Adult,341652,414,6.9
2021-2022,2021,Female,CTAS III - Urgent,3,0-19,Pediatric & Youth,545195,180,3.0
2021-2022,2021,Female,Less urgent,3,0-19,Pediatric & Youth,398170,144,2.4
2021-2022,2021,Female,Non-urgent,3,0-19,Pediatric & Youth,121024,120,2.0
2021-2022,2021,Female,Unknown,3,0-19,Pediatric & Youth,10712,78,1.3
2021-2022,2021,Female,CTAS III - Urgent,3,20-44,Young Adult,1146110,228,3.8
2021-2022,2021,Female,Less urgent,3,20-44,Young Adult,677260,162,2.7
2021-2022,2021,Female,Non-urgent,3,20-44,Young Adult,223566,114,1.9
2021-2022,2021,Female,Unknown,3,20-44,Young Adult,23820,78,1.3
2021-2022,2021,Female,CTAS III - Urgent,3,45-64,Middle Adult,727001,252,4.2
2021-2022,2021,Female,Less urgent,3,45-64,Middle Adult,441281,168,2.8
2021-2022,2021,Female,Non-urgent,3,45-64,Middle Adult,145827,114,1.9
2021-2022,2021,Female,Unknown,3,45-64,Middle Adult,12853,84,1.4
2021-2022,2021,Female,CTAS III - Urgent,3,65+,Older Adult,880576,348,5.8
2021-2022,2021,Female,Less urgent,3,65+,Older Adult,398276,228,3.8
2021-2022,2021,Female,Non-urgent,3,65+,Older Adult,115897,126,2.1
2021-2022,2021,Female,Unknown,3,65+,Older Adult,11225,108,1.8
2021-2022,2021,Male,CTAS III - Urgent,3,0-19,Pediatric & Youth,553598,168,2.8
2021-2022,2021,Male,Less urgent,3,0-19,Pediatric & Youth,426044,138,2.3
2021-2022,2021,Male,Non-urgent,3,0-19,Pediatric & Youth,129557,114,1.9
2021-2022,2021,Male,Unknown,3,0-19,Pediatric & Youth,11377,78,1.3
2021-2022,2021,Male,CTAS III - Urgent,3,20-44,Young Adult,861714,210,3.5
2021-2022,2021,Male,Less urgent,3,20-44,Young Adult,642857,156,2.6
