sex,age_group,population_category,median_los_hours,total_visits,avg_length_of_stay_min
Male,0-19,Pediatric & Youth,2.01,7913347,120.7
Male,0-19,Pediatric & Youth,1.94,3809010,116.2
Male,0-19,Pediatric & Youth,2.0,3660211,120.3
Male,0-19,Pediatric & Youth,2.16,4765641,129.3
Male,20-44,Young adult,2.29,5622253,137.5
Male,20-44,Young adult,2.33,5491540,140.0
Male,20-44,Young adult,2.39,5244347,143.2
Male,20-44,Young adult,2.45,5110928,147.1
Male,20-44,Young adult,2.54,5129065,152.3
Male,45-64,Middle Adult,2.64,5242957,158.3
Male,45-64,Middle Adult,2.74,5393618,164.4
Male,45-64,Middle Adult,2.86,5322737,171.8
Male,45-64,Middle Adult,3.02,4832687,181.5
Male,65+,Older Adult,3.26,4255602,195.4
Male,65+,Older Adult,3.54,3844268,212.5
Male,65+,Older Adult,3.9,3381813,233.7
Male,65+,Older Adult,4.36,2832556,261.6
Male,65+,Older Adult,5.08,2930618,305.1
Female,0-19,Pediatric & Youth,2.01,6439632,120.6
Female,0-19,Pediatric & Youth,1.91,3250317,114.6
Female,0-19,Pediatric & Youth,2.08,3292295,124.7
Female,0-19,Pediatric & Youth,2.38,5778199,142.6
Female,20-44,Young adult,2.52,6883711,151.3
Female,20-44,Young adult,2.58,6797757,155.1
Female,20-44,Young adult,2.65,6428461,158.9
Female,20-44,Young adult,2.68,5817607,161.0
Female,20-44,Young adult,2.71,5440122,162.7
Female,45-64,Middle Adult,2.76,5395059,165.5
Female,45-64,Middle Adult,2.79,5504793,167.2
Female,45-64,Middle Adult,2.86,5275886,171.5
Female,45-64,Middle Adult,3.04,4707068,182.3
Female,65+,Older Adult,3.3,4196576,198.0
Female,65+,Older Adult,3.64,3930736,218.1
Female,65+,Older Adult,4.03,3697490,241.5
Female,65+,Older Adult,4.54,3434140,272.1
Female,65+,Older Adult,5.38,4709897,322.5
