fiscal_year,fiscal_year_start,sex,main_problem,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi
2021-2022,2021,Female,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,216,3.6,0
2021-2022,2021,Female,Acute Myocardial Infarction,20-44,Young Adult,291,450,7.5,130950
2021-2022,2021,Female,Acute Myocardial Infarction,45-64,Middle Adult,2485,408,6.8,1013880
2021-2022,2021,Female,Acute Myocardial Infarction,65+,Older Adult,6555,498,8.3,3264390
2021-2022,2021,Female,Asthma,0-19,Pediatric & Youth,7013,222,3.7,1556886
2021-2022,2021,Female,Asthma,20-44,Young Adult,7392,186,3.1,1374912
2021-2022,2021,Female,Asthma,45-64,Middle Adult,3715,216,3.6,802440
2021-2022,2021,Female,Asthma,65+,Older Adult,2010,276,4.6,554760
2021-2022,2021,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,8,186,3.1,1488
2021-2022,2021,Female,Influenzal Pneumonia,20-44,Young Adult,9,198,3.3,1782
2021-2022,2021,Female,Influenzal Pneumonia,45-64,Middle Adult,11,486,8.1,5346
2021-2022,2021,Female,Influenzal Pneumonia,65+,Older Adult,8,345,5.75,2760
2021-2022,2021,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,13882,150,2.5,2082300
2021-2022,2021,Female,Motor Vehicle Collisions,20-44,Young Adult,27461,174,2.9,4778214
2021-2022,2021,Female,Motor Vehicle Collisions,45-64,Middle Adult,14557,192,3.2,2794944
2021-2022,2021,Female,Motor Vehicle Collisions,65+,Older Adult,6199,228,3.8,1413372
2021-2022,2021,Female,Pneumonia,0-19,Pediatric & Youth,5884,204,3.4,1200336
2021-2022,2021,Female,Pneumonia,20-44,Young Adult,4527,276,4.6,1249452
2021-2022,2021,Female,Pneumonia,45-64,Middle Adult,6137,324,5.4,1988388
2021-2022,2021,Female,Pneumonia,65+,Older Adult,12619,474,7.9,5981406
2021-2022,2021,Female,Trauma,0-19,Pediatric & Youth,213633,132,2.2,28199556
2021-2022,2021,Female,Trauma,20-44,Young Adult,263151,144,2.4,37893744
2021-2022,2021,Female,Trauma,45-64,Middle Adult,186777,156,2.6,29137212
2021-2022,2021,Female,Trauma,65+,Older Adult,188252,240,4.0,45180480
2021-2022,2021,Female,Unintentional Falls,0-19,Pediatric & Youth,80327,132,2.2,10603164
2021-2022,2021,Female,Unintentional Falls,20-44,Young Adult,68985,150,2.5,10347750
2021-2022,2021,Female,Unintentional Falls,45-64,Middle Adult,78181,174,2.9,13603494
2021-2022,2021,Female,Unintentional Falls,65+,Older Adult,130230,288,4.8,37506240
2021-2022,2021,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,12,342,5.7,4104
2021-2022,2021,Male,Acute Myocardial Infarction,20-44,Young Adult,940,258,4.3,242520
2021-2022,2021,Male,Acute Myocardial Infarction,45-64,Middle Adult,7145,294,4.9,2100630
2021-2022,2021,Male,Acute Myocardial Infarction,65+,Older Adult,9065,396,6.6,3589740
2021-2022,2021,Male,Asthma,0-19,Pediatric & Youth,11875,222,3.7,2636250
2021-2022,2021,Male,Asthma,20-44,Young Adult,5077,174,2.9,883398
2021-2022,2021,Male,Asthma,45-64,Middle Adult,2108,204,3.4,430032
2021-2022,2021,Male,Asthma,65+,Older Adult,937,258,4.3,241746
2021-2022,2021,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,7,150,2.5,1050
2021-2022,2021,Male,Influenzal Pneumonia,20-44,Young Adult,7,348,5.8,2436
2021-2022,2021,Male,Influenzal Pneumonia,45-64,Middle Adult,5,198,3.3,990
2021-2022,2021,Male,Influenzal Pneumonia,65+,Older Adult,9,504,8.4,4536
2021-2022,2021,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,21691,150,2.5,3253650
2021-2022,2021,Male,Motor Vehicle Collisions,20-44,Young Adult,37835,174,2.9,6583290
2021-2022,2021,Male,Motor Vehicle Collisions,45-64,Middle Adult,19859,192,3.2,3812928
2021-2022,2021,Male,Motor Vehicle Collisions,65+,Older Adult,7638,228,3.8,1741464
2021-2022,2021,Male,Pneumonia,0-19,Pediatric & Youth,7415,204,3.4,1512660
2021-2022,2021,Male,Pneumonia,20-44,Young Adult,4627,288,4.8,1332576
2021-2022,2021,Male,Pneumonia,45-64,Middle Adult,7354,342,5.7,2515068
2021-2022,2021,Male,Pneumonia,65+,Older Adult,14681,468,7.8,6870708
2021-2022,2021,Male,Trauma,0-19,Pediatric & Youth,287564,132,2.2,37958448
2021-2022,2021,Male,Trauma,20-44,Young Adult,367484,144,2.4,52917696
2021-2022,2021,Male,Trauma,45-64,Middle Adult,205014,150,2.5,30752100
2021-2022,2021,Male,Trauma,65+,Older Adult,140174,210,3.5,29436540
2021-2022,2021,Male,Unintentional Falls,0-19,Pediatric & Youth,98840,138,2.3,13639920
2021-2022,2021,Male,Unintentional Falls,20-44,Young Adult,69042,156,2.6,10770552
2021-2022,2021,Male,Unintentional Falls,45-64,Middle Adult,57265,186,3.1,10651290
2021-2022,2021,Male,Unintentional Falls,65+,Older Adult,76912,270,4.5,20766240
2020-2021,2020,Female,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,132,2.2,0
2020-2021,2020,Female,Acute Myocardial Infarction,20-44,Young Adult,241,408,6.8,98328
2020-2021,2020,Female,Acute Myocardial Infarction,45-64,Middle Adult,2483,366,6.1,908778
2020-2021,2020,Female,Acute Myocardial Infarction,65+,Older Adult,6174,438,7.3,2704212
2020-2021,2020,Female,Asthma,0-19,Pediatric & Youth,2900,162,2.7,469800
2020-2021,2020,Female,Asthma,20-44,Young Adult,5965,162,2.7,966330
2020-2021,2020,Female,Asthma,45-64,Middle Adult,3082,192,3.2,591744
2020-2021,2020,Female,Asthma,65+,Older Adult,1639,258,4.3,422862
2020-2021,2020,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,5,162,2.7,810
2020-2021,2020,Female,Influenzal Pneumonia,20-44,Young Adult,19,198,3.3,3762
2020-2021,2020,Female,Influenzal Pneumonia,45-64,Middle Adult,15,324,5.4,4860
2020-2021,2020,Female,Influenzal Pneumonia,65+,Older Adult,9,354,5.9,3186
2020-2021,2020,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,13647,132,2.2,1801404
2020-2021,2020,Female,Motor Vehicle Collisions,20-44,Young Adult,23176,156,2.6,3615456
2020-2021,2020,Female,Motor Vehicle Collisions,45-64,Middle Adult,12335,174,2.9,2146290
2020-2021,2020,Female,Motor Vehicle Collisions,65+,Older Adult,4956,210,3.5,1040760
2020-2021,2020,Female,Pneumonia,0-19,Pediatric & Youth,1348,186,3.1,250728
2020-2021,2020,Female,Pneumonia,20-44,Young Adult,3387,258,4.3,873846
2020-2021,2020,Female,Pneumonia,45-64,Middle Adult,5148,300,5.0,1544400
2020-2021,2020,Female,Pneumonia,65+,Older Adult,10716,438,7.3,4693608
2020-2021,2020,Female,Trauma,0-19,Pediatric & Youth,171877,108,1.8,18562716
2020-2021,2020,Female,Trauma,20-44,Young Adult,223107,120,2.0,26772840
2020-2021,2020,Female,Trauma,45-64,Middle Adult,162633,132,2.2,21467556
2020-2021,2020,Female,Trauma,65+,Older Adult,156151,216,3.6,33728616
2020-2021,2020,Female,Unintentional Falls,0-19,Pediatric & Youth,66839,114,1.9,7619646
2020-2021,2020,Female,Unintentional Falls,20-44,Young Adult,57720,126,2.1,7272720
2020-2021,2020,Female,Unintentional Falls,45-64,Middle Adult,68084,156,2.6,10621104
2020-2021,2020,Female,Unintentional Falls,65+,Older Adult,109377,258,4.3,28219266
