fiscal_year,fiscal_year_start,sex,visit_disposition,admission_flag,admission_status,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi
2021-2022,2021,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,61448,450,7.5,27651600
2021-2022,2021,Female,Admitted,1,Admitted,20-44,Young Adult,135970,702,11.7,95450940
2021-2022,2021,Female,Admitted,1,Admitted,45-64,Middle Adult,154636,792,13.2,122471712
2021-2022,2021,Female,Admitted,1,Admitted,65+,Older Adult,423379,966,16.1,408984114
2021-2022,2021,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,61089,420,7.0,25657380
2021-2022,2021,Male,Admitted,1,Admitted,20-44,Young Adult,135841,720,12.0,97805520
2021-2022,2021,Male,Admitted,1,Admitted,45-64,Middle Adult,197560,762,12.7,150540720
2021-2022,2021,Male,Admitted,1,Admitted,65+,Older Adult,403171,906,15.1,365272926
2021-2022,2021,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,176,36,0.6,6336
2021-2022,2021,Female,Death,0,Not Admitted,20-44,Young Adult,452,42,0.7,18984
2021-2022,2021,Female,Death,0,Not Admitted,45-64,Middle Adult,1144,72,1.2,82368
2021-2022,2021,Female,Death,0,Not Admitted,65+,Older Adult,5141,150,2.5,771150
2021-2022,2021,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,268,42,0.7,11256
2021-2022,2021,Male,Death,0,Not Admitted,20-44,Young Adult,1209,36,0.6,43524
2021-2022,2021,Male,Death,0,Not Admitted,45-64,Middle Adult,2866,54,0.9,154764
2021-2022,2021,Male,Death,0,Not Admitted,65+,Older Adult,7162,108,1.8,773496
2021-2022,2021,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1111383,162,2.7,180044046
2021-2022,2021,Female,Discharged,0,Not Admitted,20-44,Young Adult,2099271,198,3.3,415655658
2021-2022,2021,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1362105,204,3.4,277869420
2021-2022,2021,Female,Discharged,0,Not Admitted,65+,Older Adult,1197410,246,4.1,294562860
2021-2022,2021,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1164643,156,2.6,181684308
2021-2022,2021,Male,Discharged,0,Not Admitted,20-44,Young Adult,1734357,180,3.0,312184260
2021-2022,2021,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1304242,198,3.3,258239916
2021-2022,2021,Male,Discharged,0,Not Admitted,65+,Older Adult,1061589,228,3.8,242042292
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,3093,186,3.1,575298
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,9761,210,3.5,2049810
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4464,228,3.8,1017792
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3733,222,3.7,828726
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2982,168,2.8,500976
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,6273,252,4.2,1580796
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4991,222,3.7,1108002
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,4100,234,3.9,959400
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,98886,150,2.5,14832900
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,213981,180,3.0,38516580
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,99494,180,3.0,17908920
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,62794,180,3.0,11302920
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,97707,144,2.4,14069808
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,205103,174,2.9,35687922
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,118919,180,3.0,21405420
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,65270,174,2.9,11356980
2021-2022,2021,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18833,288,4.8,5423904
2021-2022,2021,Female,Transferred,0,Not Admitted,20-44,Young Adult,39251,330,5.5,12952830
2021-2022,2021,Female,Transferred,0,Not Admitted,45-64,Middle Adult,31707,360,6.0,11414520
2021-2022,2021,Female,Transferred,0,Not Admitted,65+,Older Adult,91621,384,6.4,35182464
2021-2022,2021,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18728,246,4.1,4607088
2021-2022,2021,Male,Transferred,0,Not Admitted,20-44,Young Adult,45189,312,5.2,14098968
2021-2022,2021,Male,Transferred,0,Not Admitted,45-64,Middle Adult,44849,318,5.3,14261982
2021-2022,2021,Male,Transferred,0,Not Admitted,65+,Older Adult,73788,372,6.2,27449136
2020-2021,2020,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,48794,396,6.6,19322424
2020-2021,2020,Female,Admitted,1,Admitted,20-44,Young Adult,128370,588,9.8,75481560
2020-2021,2020,Female,Admitted,1,Admitted,45-64,Middle Adult,146117,648,10.8,94683816
2020-2021,2020,Female,Admitted,1,Admitted,65+,Older Adult,386091,750,12.5,289568250
2020-2021,2020,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,47148,366,6.1,17256168
