fiscal_year,fiscal_year_start,triage_level,ctas_urgency_score,visit_disposition,main_problem,admission_status,ed_visits,median_los_minutes,median_los_hours,admission_flag,is_suppressed
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Acute Myocardial Infarction,Admitted,1360,93.0,1.55,1,0
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Asthma,Admitted,822,456.0,7.6,1,0
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Influenzal Pneumonia,Admitted,0,0.0,0.0,1,1
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Motor Vehicle Collisions,Admitted,3032,324.0,5.4,1,0
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Pneumonia,Admitted,1656,561.0,9.35,1,0
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Trauma,Admitted,8476,348.0,5.8,1,0
2021-2022,2021,CTAS I - Resuscitation,1,Admitted,Unintentional Falls,Admitted,2393,456.0,7.6,1,0
2021-2022,2021,CTAS I - Resuscitation,1,Death,Acute Myocardial Infarction,Not Admitted,365,36.0,0.6,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Death,Asthma,Not Admitted,0,18.0,0.3,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Death,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Death,Motor Vehicle Collisions,Not Admitted,195,30.0,0.5,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Death,Pneumonia,Not Admitted,32,324.0,5.4,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Death,Trauma,Not Admitted,683,60.0,1.0,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Death,Unintentional Falls,Not Admitted,120,201.0,3.35,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Acute Myocardial Infarction,Not Admitted,7,36.0,0.6,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Asthma,Not Admitted,813,252.0,4.2,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Motor Vehicle Collisions,Not Admitted,752,294.0,4.9,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Pneumonia,Not Admitted,353,198.0,3.3,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Trauma,Not Admitted,4095,258.0,4.3,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Discharged Home,Unintentional Falls,Not Admitted,760,264.0,4.4,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Acute Myocardial Infarction,Not Admitted,158,33.0,0.55,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Asthma,Not Admitted,9,102.0,1.7,0,0
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Influenzal Pneumonia,Not Admitted,0,0.0,0.0,0,1
2021-2022,2021,CTAS I - Resuscitation,1,Intra-Facility Transfer,Motor Vehicle Collisions,Not Admitted,16,237.0,3.95,0,0
