fiscal_year,fiscal_year_start,sex,main_problem,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi,is_suppressed
2021-2022,2021,Female,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,216.0,3.6,0,1
2021-2022,2021,Female,Acute Myocardial Infarction,20-44,Young Adult,291,450.0,7.5,130950,0
2021-2022,2021,Female,Acute Myocardial Infarction,45-64,Middle Adult,2485,408.0,6.8,1013880,0
2021-2022,2021,Female,Acute Myocardial Infarction,65+,Older Adult,6555,498.0,8.3,3264390,0
2021-2022,2021,Female,Asthma,0-19,Pediatric & Youth,7013,222.0,3.7,1556886,0
2021-2022,2021,Female,Asthma,20-44,Young Adult,7392,186.0,3.1,1374912,0
2021-2022,2021,Female,Asthma,45-64,Middle Adult,3715,216.0,3.6,802440,0
2021-2022,2021,Female,Asthma,65+,Older Adult,2010,276.0,4.6,554760,0
2021-2022,2021,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,8,186.0,3.1,1488,0
2021-2022,2021,Female,Influenzal Pneumonia,20-44,Young Adult,9,198.0,3.3,1782,0
2021-2022,2021,Female,Influenzal Pneumonia,45-64,Middle Adult,11,486.0,8.1,5346,0
2021-2022,2021,Female,Influenzal Pneumonia,65+,Older Adult,8,345.0,5.75,2760,0
2021-2022,2021,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,13882,150.0,2.5,2082300,0
2021-2022,2021,Female,Motor Vehicle Collisions,20-44,Young Adult,27461,174.0,2.9,4778214,0
2021-2022,2021,Female,Motor Vehicle Collisions,45-64,Middle Adult,14557,192.0,3.2,2794944,0
2021-2022,2021,Female,Motor Vehicle Collisions,65+,Older Adult,6199,228.0,3.8,1413372,0
2021-2022,2021,Female,Pneumonia,0-19,Pediatric & Youth,5884,204.0,3.4,1200336,0
2021-2022,2021,Female,Pneumonia,20-44,Young Adult,4527,276.0,4.6,1249452,0
2021-2022,2021,Female,Pneumonia,45-64,Middle Adult,6137,324.0,5.4,1988388,0
2021-2022,2021,Female,Pneumonia,65+,Older Adult,12619,474.0,7.9,5981406,0
2021-2022,2021,Female,Trauma,0-19,Pediatric & Youth,213633,132.0,2.2,28199556,0
2021-2022,2021,Female,Trauma,20-44,Young Adult,263151,144.0,2.4,37893744,0
2021-2022,2021,Female,Trauma,45-64,Middle Adult,186777,156.0,2.6,29137212,0
2021-2022,2021,Female,Trauma,65+,Older Adult,188252,240.0,4.0,45180480,0
2021-2022,2021,Female,Unintentional Falls,0-19,Pediatric & Youth,80327,132.0,2.2,10603164,0
2021-2022,2021,Female,Unintentional Falls,20-44,Young Adult,68985,150.0,2.5,10347750,0
2021-2022,2021,Female,Unintentional Falls,45-64,Middle Adult,78181,174.0,2.9,13603494,0
2021-2022,2021,Female,Unintentional Falls,65+,Older Adult,130230,288.0,4.8,37506240,0
2021-2022,2021,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,12,342.0,5.7,4104,0
2021-2022,2021,Male,Acute Myocardial Infarction,20-44,Young Adult,940,258.0,4.3,242520,0
2021-2022,2021,Male,Acute Myocardial Infarction,45-64,Middle Adult,7145,294.0,4.9,2100630,0
2021-2022,2021,Male,Acute Myocardial Infarction,65+,Older Adult,9065,396.0,6.6,3589740,0
2021-2022,2021,Male,Asthma,0-19,Pediatric & Youth,11875,222.0,3.7,2636250,0
2021-2022,2021,Male,Asthma,20-44,Young Adult,5077,174.0,2.9,883398,0
2021-2022,2021,Male,Asthma,45-64,Middle Adult,2108,204.0,3.4,430032,0
2021-2022,2021,Male,Asthma,65+,Older Adult,937,258.0,4.3,241746,0
2021-2022,2021,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,7,150.0,2.5,1050,0
2021-2022,2021,Male,Influenzal Pneumonia,20-44,Young Adult,7,348.0,5.8,2436,0
2021-2022,2021,Male,Influenzal Pneumonia,45-64,Middle Adult,5,198.0,3.3,990,0
2021-2022,2021,Male,Influenzal Pneumonia,65+,Older Adult,9,504.0,8.4,4536,0
2021-2022,2021,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,21691,150.0,2.5,3253650,0
2021-2022,2021,Male,Motor Vehicle Collisions,20-44,Young Adult,37835,174.0,2.9,6583290,0
2021-2022,2021,Male,Motor Vehicle Collisions,45-64,Middle Adult,19859,192.0,3.2,3812928,0
2021-2022,2021,Male,Motor Vehicle Collisions,65+,Older Adult,7638,228.0,3.8,1741464,0
2021-2022,2021,Male,Pneumonia,0-19,Pediatric & Youth,7415,204.0,3.4,1512660,0
2021-2022,2021,Male,Pneumonia,20-44,Young Adult,4627,288.0,4.8,1332576,0
2021-2022,2021,Male,Pneumonia,45-64,Middle Adult,7354,342.0,5.7,2515068,0
2021-2022,2021,Male,Pneumonia,65+,Older Adult,14681,468.0,7.8,6870708,0
2021-2022,2021,Male,Trauma,0-19,Pediatric & Youth,287564,132.0,2.2,37958448,0
2021-2022,2021,Male,Trauma,20-44,Young Adult,367484,144.0,2.4,52917696,0
2021-2022,2021,Male,Trauma,45-64,Middle Adult,205014,150.0,2.5,30752100,0
2021-2022,2021,Male,Trauma,65+,Older Adult,140174,210.0,3.5,29436540,0
2021-2022,2021,Male,Unintentional Falls,0-19,Pediatric & Youth,98840,138.0,2.3,13639920,0
2021-2022,2021,Male,Unintentional Falls,20-44,Young Adult,69042,156.0,2.6,10770552,0
2021-2022,2021,Male,Unintentional Falls,45-64,Middle Adult,57265,186.0,3.1,10651290,0
2021-2022,2021,Male,Unintentional Falls,65+,Older Adult,76912,270.0,4.5,20766240,0
2020-2021,2020,Female,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,132.0,2.2,0,1
2020-2021,2020,Female,Acute Myocardial Infarction,20-44,Young Adult,241,408.0,6.8,98328,0
2020-2021,2020,Female,Acute Myocardial Infarction,45-64,Middle Adult,2483,366.0,6.1,908778,0
2020-2021,2020,Female,Acute Myocardial Infarction,65+,Older Adult,6174,438.0,7.3,2704212,0
2020-2021,2020,Female,Asthma,0-19,Pediatric & Youth,2900,162.0,2.7,469800,0
2020-2021,2020,Female,Asthma,20-44,Young Adult,5965,162.0,2.7,966330,0
2020-2021,2020,Female,Asthma,45-64,Middle Adult,3082,192.0,3.2,591744,0
2020-2021,2020,Female,Asthma,65+,Older Adult,1639,258.0,4.3,422862,0
2020-2021,2020,Female,Influenzal Pneumonia,0-19,Pediatric & Youth,5,162.0,2.7,810,0
2020-2021,2020,Female,Influenzal Pneumonia,20-44,Young Adult,19,198.0,3.3,3762,0
2020-2021,2020,Female,Influenzal Pneumonia,45-64,Middle Adult,15,324.0,5.4,4860,0
2020-2021,2020,Female,Influenzal Pneumonia,65+,Older Adult,9,354.0,5.9,3186,0
2020-2021,2020,Female,Motor Vehicle Collisions,0-19,Pediatric & Youth,13647,132.0,2.2,1801404,0
2020-2021,2020,Female,Motor Vehicle Collisions,20-44,Young Adult,23176,156.0,2.6,3615456,0
2020-2021,2020,Female,Motor Vehicle Collisions,45-64,Middle Adult,12335,174.0,2.9,2146290,0
2020-2021,2020,Female,Motor Vehicle Collisions,65+,Older Adult,4956,210.0,3.5,1040760,0
2020-2021,2020,Female,Pneumonia,0-19,Pediatric & Youth,1348,186.0,3.1,250728,0
2020-2021,2020,Female,Pneumonia,20-44,Young Adult,3387,258.0,4.3,873846,0
2020-2021,2020,Female,Pneumonia,45-64,Middle Adult,5148,300.0,5.0,1544400,0
2020-2021,2020,Female,Pneumonia,65+,Older Adult,10716,438.0,7.3,4693608,0
2020-2021,2020,Female,Trauma,0-19,Pediatric & Youth,171877,108.0,1.8,18562716,0
2020-2021,2020,Female,Trauma,20-44,Young Adult,223107,120.0,2.0,26772840,0
2020-2021,2020,Female,Trauma,45-64,Middle Adult,162633,132.0,2.2,21467556,0
2020-2021,2020,Female,Trauma,65+,Older Adult,156151,216.0,3.6,33728616,0
2020-2021,2020,Female,Unintentional Falls,0-19,Pediatric & Youth,66839,114.0,1.9,7619646,0
2020-2021,2020,Female,Unintentional Falls,20-44,Young Adult,57720,126.0,2.1,7272720,0
2020-2021,2020,Female,Unintentional Falls,45-64,Middle Adult,68084,156.0,2.6,10621104,0
2020-2021,2020,Female,Unintentional Falls,65+,Older Adult,109377,258.0,4.3,28219266,0
2020-2021,2020,Male,Acute Myocardial Infarction,0-19,Pediatric & Youth,0,198.0,3.3,0,1
2020-2021,2020,Male,Acute Myocardial Infarction,20-44,Young Adult,856,282.0,4.7,241392,0
2020-2021,2020,Male,Acute Myocardial Infarction,45-64,Middle Adult,6840,264.0,4.4,1805760,0
2020-2021,2020,Male,Acute Myocardial Infarction,65+,Older Adult,8527,366.0,6.1,3120882,0
2020-2021,2020,Male,Asthma,0-19,Pediatric & Youth,4248,168.0,2.8,713664,0
2020-2021,2020,Male,Asthma,20-44,Young Adult,4391,144.0,2.4,632304,0
2020-2021,2020,Male,Asthma,45-64,Middle Adult,1959,174.0,2.9,340866,0
2020-2021,2020,Male,Asthma,65+,Older Adult,761,216.0,3.6,164376,0
2020-2021,2020,Male,Influenzal Pneumonia,0-19,Pediatric & Youth,0,159.0,2.65,0,1
2020-2021,2020,Male,Influenzal Pneumonia,20-44,Young Adult,13,354.0,5.9,4602,0
2020-2021,2020,Male,Influenzal Pneumonia,45-64,Middle Adult,22,285.0,4.75,6270,0
2020-2021,2020,Male,Influenzal Pneumonia,65+,Older Adult,17,528.0,8.8,8976,0
2020-2021,2020,Male,Motor Vehicle Collisions,0-19,Pediatric & Youth,22360,132.0,2.2,2951520,0
2020-2021,2020,Male,Motor Vehicle Collisions,20-44,Young Adult,35830,156.0,2.6,5589480,0
2020-2021,2020,Male,Motor Vehicle Collisions,45-64,Middle Adult,18000,174.0,2.9,3132000,0
2020-2021,2020,Male,Motor Vehicle Collisions,65+,Older Adult,6446,204.0,3.4,1314984,0
2020-2021,2020,Male,Pneumonia,0-19,Pediatric & Youth,1775,180.0,3.0,319500,0
2020-2021,2020,Male,Pneumonia,20-44,Young Adult,3734,270.0,4.5,1008180,0
