fiscal_year,fiscal_year_start,sex,visit_disposition,admission_flag,admission_status,age_group,population_category,ed_visits,median_los_minutes,median_los_hours,erbi,is_suppressed
2021-2022,2021,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,61448,450.0,7.5,27651600,0
2021-2022,2021,Female,Admitted,1,Admitted,20-44,Young Adult,135970,702.0,11.7,95450940,0
2021-2022,2021,Female,Admitted,1,Admitted,45-64,Middle Adult,154636,792.0,13.2,122471712,0
2021-2022,2021,Female,Admitted,1,Admitted,65+,Older Adult,423379,966.0,16.1,408984114,0
2021-2022,2021,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,61089,420.0,7.0,25657380,0
2021-2022,2021,Male,Admitted,1,Admitted,20-44,Young Adult,135841,720.0,12.0,97805520,0
2021-2022,2021,Male,Admitted,1,Admitted,45-64,Middle Adult,197560,762.0,12.7,150540720,0
2021-2022,2021,Male,Admitted,1,Admitted,65+,Older Adult,403171,906.0,15.1,365272926,0
2021-2022,2021,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,176,36.0,0.6,6336,0
2021-2022,2021,Female,Death,0,Not Admitted,20-44,Young Adult,452,42.0,0.7,18984,0
2021-2022,2021,Female,Death,0,Not Admitted,45-64,Middle Adult,1144,72.0,1.2,82368,0
2021-2022,2021,Female,Death,0,Not Admitted,65+,Older Adult,5141,150.0,2.5,771150,0
2021-2022,2021,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,268,42.0,0.7,11256,0
2021-2022,2021,Male,Death,0,Not Admitted,20-44,Young Adult,1209,36.0,0.6,43524,0
2021-2022,2021,Male,Death,0,Not Admitted,45-64,Middle Adult,2866,54.0,0.9,154764,0
2021-2022,2021,Male,Death,0,Not Admitted,65+,Older Adult,7162,108.0,1.8,773496,0
2021-2022,2021,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1111383,162.0,2.7,180044046,0
2021-2022,2021,Female,Discharged,0,Not Admitted,20-44,Young Adult,2099271,198.0,3.3,415655658,0
2021-2022,2021,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1362105,204.0,3.4,277869420,0
2021-2022,2021,Female,Discharged,0,Not Admitted,65+,Older Adult,1197410,246.0,4.1,294562860,0
2021-2022,2021,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,1164643,156.0,2.6,181684308,0
2021-2022,2021,Male,Discharged,0,Not Admitted,20-44,Young Adult,1734357,180.0,3.0,312184260,0
2021-2022,2021,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1304242,198.0,3.3,258239916,0
2021-2022,2021,Male,Discharged,0,Not Admitted,65+,Older Adult,1061589,228.0,3.8,242042292,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,3093,186.0,3.1,575298,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,9761,210.0,3.5,2049810,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4464,228.0,3.8,1017792,0
2021-2022,2021,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3733,222.0,3.7,828726,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2982,168.0,2.8,500976,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,6273,252.0,4.2,1580796,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4991,222.0,3.7,1108002,0
2021-2022,2021,Male,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,4100,234.0,3.9,959400,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,98886,150.0,2.5,14832900,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,213981,180.0,3.0,38516580,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,99494,180.0,3.0,17908920,0
2021-2022,2021,Female,Left Without Being Seen,0,Not Admitted,65+,Older Adult,62794,180.0,3.0,11302920,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,0-19,Pediatric & Youth,97707,144.0,2.4,14069808,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,20-44,Young Adult,205103,174.0,2.9,35687922,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,45-64,Middle Adult,118919,180.0,3.0,21405420,0
2021-2022,2021,Male,Left Without Being Seen,0,Not Admitted,65+,Older Adult,65270,174.0,2.9,11356980,0
2021-2022,2021,Female,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18833,288.0,4.8,5423904,0
2021-2022,2021,Female,Transferred,0,Not Admitted,20-44,Young Adult,39251,330.0,5.5,12952830,0
2021-2022,2021,Female,Transferred,0,Not Admitted,45-64,Middle Adult,31707,360.0,6.0,11414520,0
2021-2022,2021,Female,Transferred,0,Not Admitted,65+,Older Adult,91621,384.0,6.4,35182464,0
2021-2022,2021,Male,Transferred,0,Not Admitted,0-19,Pediatric & Youth,18728,246.0,4.1,4607088,0
2021-2022,2021,Male,Transferred,0,Not Admitted,20-44,Young Adult,45189,312.0,5.2,14098968,0
2021-2022,2021,Male,Transferred,0,Not Admitted,45-64,Middle Adult,44849,318.0,5.3,14261982,0
2021-2022,2021,Male,Transferred,0,Not Admitted,65+,Older Adult,73788,372.0,6.2,27449136,0
2020-2021,2020,Female,Admitted,1,Admitted,0-19,Pediatric & Youth,48794,396.0,6.6,19322424,0
2020-2021,2020,Female,Admitted,1,Admitted,20-44,Young Adult,128370,588.0,9.8,75481560,0
2020-2021,2020,Female,Admitted,1,Admitted,45-64,Middle Adult,146117,648.0,10.8,94683816,0
2020-2021,2020,Female,Admitted,1,Admitted,65+,Older Adult,386091,750.0,12.5,289568250,0
2020-2021,2020,Male,Admitted,1,Admitted,0-19,Pediatric & Youth,47148,366.0,6.1,17256168,0
2020-2021,2020,Male,Admitted,1,Admitted,20-44,Young Adult,129372,600.0,10.0,77623200,0
2020-2021,2020,Male,Admitted,1,Admitted,45-64,Middle Adult,188554,624.0,10.4,117657696,0
2020-2021,2020,Male,Admitted,1,Admitted,65+,Older Adult,370862,702.0,11.7,260345124,0
2020-2021,2020,Female,Death,0,Not Admitted,0-19,Pediatric & Youth,170,36.0,0.6,6120,0
2020-2021,2020,Female,Death,0,Not Admitted,20-44,Young Adult,466,48.0,0.8,22368,0
2020-2021,2020,Female,Death,0,Not Admitted,45-64,Middle Adult,1197,78.0,1.3,93366,0
2020-2021,2020,Female,Death,0,Not Admitted,65+,Older Adult,5136,144.0,2.4,739584,0
2020-2021,2020,Male,Death,0,Not Admitted,0-19,Pediatric & Youth,248,36.0,0.6,8928,0
2020-2021,2020,Male,Death,0,Not Admitted,20-44,Young Adult,1222,36.0,0.6,43992,0
2020-2021,2020,Male,Death,0,Not Admitted,45-64,Middle Adult,2907,48.0,0.8,139536,0
2020-2021,2020,Male,Death,0,Not Admitted,65+,Older Adult,6711,96.0,1.6,644256,0
2020-2021,2020,Female,Discharged,0,Not Admitted,0-19,Pediatric & Youth,772044,132.0,2.2,101909808,0
2020-2021,2020,Female,Discharged,0,Not Admitted,20-44,Young Adult,1828993,168.0,2.8,307270824,0
2020-2021,2020,Female,Discharged,0,Not Admitted,45-64,Middle Adult,1207456,180.0,3.0,217342080,0
2020-2021,2020,Female,Discharged,0,Not Admitted,65+,Older Adult,1024550,222.0,3.7,227450100,0
2020-2021,2020,Male,Discharged,0,Not Admitted,0-19,Pediatric & Youth,774918,126.0,2.1,97639668,0
2020-2021,2020,Male,Discharged,0,Not Admitted,20-44,Young Adult,1537683,150.0,2.5,230652450,0
2020-2021,2020,Male,Discharged,0,Not Admitted,45-64,Middle Adult,1201166,168.0,2.8,201795888,0
2020-2021,2020,Male,Discharged,0,Not Admitted,65+,Older Adult,937745,204.0,3.4,191299980,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2522,162.0,2.7,408564,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,9187,198.0,3.3,1819026,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,45-64,Middle Adult,4202,204.0,3.4,857208,0
2020-2021,2020,Female,Intra-Facility Transfer,0,Not Admitted,65+,Older Adult,3255,204.0,3.4,664020,0
2020-2021,2020,Male,Intra-Facility Transfer,0,Not Admitted,0-19,Pediatric & Youth,2560,156.0,2.6,399360,0
2020-2021,2020,Male,Intra-Facility Transfer,0,Not Admitted,20-44,Young Adult,6641,210.0,3.5,1394610,0
